year,Sector_Name,sector,value
2016,Health,p5.5.07,14647
2016,"Recreation, culture and religion",p5.5.08,1811
2016,Education,p5.5.09,41095
2016,Social protection,p5.5.10,1144
2016,Import duties,p6,16000
2017,Agriculture,p1,99509
2017,Crops,p1.1,66092
2017,Rubber,p1.1.1,3432
2017,Oil palm,p1.1.2,38366
2017,Paddy,p1.1.3,2225
2017,Vegetables,p1.1.4,10400
2017,Fruits,p1.1.5,4414
2017,Food crops,p1.1.6,6143
2017,Others ,p1.1.7,1112
2017,Livestock,p1.2,13827
2017,Poultry,p1.2.1,8330
2017,Cattle,p1.2.2 ,1029
2017,Other livestocks,p1.2.3,4468
2017,Forestry and logging,p1.3,7266
2017,Fishing,p1.4,12325
2017,Marine fishing,p1.4.1,8093
2017,Aquaculture,p1.4.2,4231
2017,Mining and quarrying,p2,105838
2017,Crude oil and condensate,p2.1,45807
2017,Natural gas ,p2.2,51492
2017,Other mining & quarrying and supporting services,p2.3,8539
2017,Manufacturing,p3,290464
2017,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,37019
2017,Vegetable and animal oils & fats,p3.1.1,13326
2017,Food processing,p3.1.2,15094
2017,Beverages,p3.1.3,4975
2017,Tobacco products,p3.1.4,3624
2017,"Tekstil, pakaian dan produk kulit",p3.2,5682
2017,Textile and wearing apparel,p3.2.1,4960
2017,Leather and related products,p3.2.2,722
2017,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,15088
2017,Wood products ,p3.3.1,6938
2017,Paper and paper products,p3.3.2,4287
2017,Printing and reproduction of recorded media ,p3.3.3,3863
2017,"Produk petroleum, kimia, getah dan plastik",p3.4,84999
2017,Refined petroleum products,p3.4.1,36750
2017,Chemicals & chemical products and pharmaceutical products ,p3.4.2,31612
2017,Rubber products,p3.4.3,7062
2017,Plastics products,p3.4.4,9575
2017,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,34517
2017,Non-metallic mineral products,p3.5.1,11265
2017,Basic metals,p3.5.2,7865
2017,Fabricated metal products,p3.5.3,15387
2017,"Produk elektrik, elektronik dan optikal",p3.6,81217
2017,Machinery and equipment,p3.6.1,9203
2017,Computers and peripheral equipment,p3.6.2,5240
2017,Electrical equipment,p3.6.3,6060
2017,"Electronic components & boards, communication equipment and consumer electronics",p3.6.4,55731
2017,"Manufacture of medical, precision & optical instrument, watches and clocks",p3.6.5,4983
2017,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,31942
2017,Motor vehicles and transport equipment,p3.7.1,23139
2017,Furniture,p3.7.2,4569
2017,Other manufacturing and repair & installation of machinery and equipment,p3.7.3,4234
2017,Construction,p4,63522
2017,Buildings,p4.1,32525
2017,Residential buildings,p4.1.1,16988
2017,Non-residential buildings,p4.1.2,15537
2017,Civil engineering,p4.2,20253
2017,Specialised construction activities,p4.3,10743
2017,Services,p5,723361
2017,"Utilities, transportation & storage and information & communication",p5.1,154721
2017,Electricity and gas,p5.1.1,27671
2017,"Water, sewerage and waste management",p5.1.2,6725
2017,Transportation and storage,p5.1.3,47212
2017,Land transport,p5.1.3.1,11695
2017,Water transport,p5.1.3.2,6304
2017,Air transport,p5.1.3.3,6093
2017,Port and airport operation,p5.1.3.4,6735
2017,Highway operation,p5.1.3.5,7146
2017,Support activities for transportation,p5.1.3.6,7230
2017,Postal and courier ,p5.1.3.7,2009
2017,Information and communication,p5.1.4,73113
2017,Publishing and broadcasting activities ,p5.1.4.1,7374
2017,Telecommunications,p5.1.4.2,49058
2017,Computer and information service activities,p5.1.4.3,16682
2017,"Wholesale and retail trade, food & beverage and accommodation",p5.2,251632
2017,Wholesale and retail trade ,p5.2.1,209885
2017,Wholesale trade,p5.2.1.1,94906
2017,Retail trade,p5.2.1.2,92077
2017,Motor vehicles,p5.2.1.3,22902
2017,Food and beverage,p5.2.2,33043
2017,Accommodation,p5.2.3,8704
2017,"Finance and insurance, real estate and business services",p5.3,143664
2017,Finance,p5.3.1,63973
2017,Monetary intermediation,p5.3.1.1,53835
2017,Other financial intermediation and activities auxiliary to finance,p5.3.1.2,10137
2017,Insurance,p5.3.2,20559
2017,Insurance and pension funding,p5.3.2.1,19948
2017,Activities auxiliary to insurance,p5.3.2.2,611
2017,Real estate,p5.3.3,19393
2017,Business services,p5.3.4,39739
2017,"Professional, scientific and technical ",p5.3.4.1,27158
2017,Administrative and support services,p5.3.4.2,12580
2017,Other services,p5.4,63648
2017,Private health services,p5.4.1,8965
2017,Private education services,p5.4.2,10501
2017,Owner-occupied dwellings,p5.4.3,28796
2017,Non-profit institutions serving households,p5.4.4,341
2017,Domestic services of households,p5.4.5,1199
2017,Other services not elsewhere classified,p5.4.6,13846
2017,Government services,p5.5,109694
2017,General public services,p5.5.01,15881
2017,Defence,p5.5.02,9025
2017,Public order and safety,p5.5.03,10335
2017,Economic affairs,p5.5.04,9356
2017,Environmental protection,p5.5.05,395
2017,Housing and community amenities,p5.5.06,1859
2017,Health,p5.5.07,15816
2017,"Recreation, culture and religion",p5.5.08,2064
2017,Education,p5.5.09,43627
2017,Social protection,p5.5.10,1337
2017,Import duties,p6,18076
2018,Agriculture,p1,99637
2018,Crops,p1.1,65842
2018,Rubber,p1.1.1,2829
2018,Oil palm,p1.1.2,37664
2018,Paddy,p1.1.3,2362
2018,Vegetables,p1.1.4,10837
2018,Fruits,p1.1.5,4613
2018,Food crops,p1.1.6,6395
2018,Others ,p1.1.7,1142
2018,Livestock,p1.2,14584
2018,Poultry,p1.2.1,8669
2018,Cattle,p1.2.2 ,1037
2018,Other livestocks,p1.2.3,4878
2018,Forestry and logging,p1.3,6986
2018,Fishing,p1.4,12225
2018,Marine fishing,p1.4.1,8081
2018,Aquaculture,p1.4.2,4144
2018,Mining and quarrying,p2,103557
2018,Crude oil and condensate,p2.1,45430
2018,Natural gas ,p2.2,49322
2018,Other mining & quarrying and supporting services,p2.3,8806
2018,Manufacturing,p3,304843
2018,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,38287
2018,Vegetable and animal oils & fats,p3.1.1,13319
2018,Food processing,p3.1.2,16149
2018,Beverages,p3.1.3,5133
2018,Tobacco products,p3.1.4,3686
2018,"Tekstil, pakaian dan produk kulit",p3.2,5926
2018,Textile and wearing apparel,p3.2.1,5178
2018,Leather and related products,p3.2.2,748
2018,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,15809
2018,Wood products ,p3.3.1,7323
2018,Paper and paper products,p3.3.2,4473
2018,Printing and reproduction of recorded media ,p3.3.3,4013
2018,"Produk petroleum, kimia, getah dan plastik",p3.4,88418
2018,Refined petroleum products,p3.4.1,37962
2018,Chemicals & chemical products and pharmaceutical products ,p3.4.2,33071
2018,Rubber products,p3.4.3,7419
2018,Plastics products,p3.4.4,9966
2018,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,36224
2018,Non-metallic mineral products,p3.5.1,11887
2018,Basic metals,p3.5.2,8176
2018,Fabricated metal products,p3.5.3,16161
2018,"Produk elektrik, elektronik dan optikal",p3.6,86317
2018,Machinery and equipment,p3.6.1,9690
2018,Computers and peripheral equipment,p3.6.2,5456
2018,Electrical equipment,p3.6.3,6115
2018,"Electronic components & boards, communication equipment and consumer electronics",p3.6.4,59699
2018,"Manufacture of medical, precision & optical instrument, watches and clocks",p3.6.5,5357
2018,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,33859
2018,Motor vehicles and transport equipment,p3.7.1,24582
2018,Furniture,p3.7.2,4761
2018,Other manufacturing and repair & installation of machinery and equipment,p3.7.3,4516
2018,Construction,p4,66194
2018,Buildings,p4.1,31160
2018,Residential buildings,p4.1.1,15812
2018,Non-residential buildings,p4.1.2,15348
2018,Civil engineering,p4.2,23354
2018,Specialised construction activities,p4.3,11681
2018,Services,p5,772990
2018,"Utilities, transportation & storage and information & communication",p5.1,165427
2018,Electricity and gas,p5.1.1,28932
2018,"Water, sewerage and waste management",p5.1.2,7177
2018,Transportation and storage,p5.1.3,50208
2018,Land transport,p5.1.3.1,12518
2018,Water transport,p5.1.3.2,6464
2018,Air transport,p5.1.3.3,6210
2018,Port and airport operation,p5.1.3.4,7308
2018,Highway operation,p5.1.3.5,7719
2018,Support activities for transportation,p5.1.3.6,7787
2018,Postal and courier ,p5.1.3.7,2203
2018,Information and communication,p5.1.4,79110
2018,Publishing and broadcasting activities ,p5.1.4.1,7785
2018,Telecommunications,p5.1.4.2,53346
2018,Computer and information service activities,p5.1.4.3,17979
2018,"Wholesale and retail trade, food & beverage and accommodation",p5.2,272668
2018,Wholesale and retail trade ,p5.2.1,227166
2018,Wholesale trade,p5.2.1.1,101927
2018,Retail trade,p5.2.1.2,101471
2018,Motor vehicles,p5.2.1.3,23769
2018,Food and beverage,p5.2.2,36263
